T11 T21
4.055253e-01 1.841576e-01
3.806634e-01 2.178888e-01
4.052627e-01 2.034493e-01
3.975725e-01 2.115597e-01
4.103402e-01 1.969287e-01
4.090755e-01 2.023551e-01
4.034320e-01 1.813010e-01
3.992228e-01 1.915342e-01
4.072269e-01 1.911553e-01
4.062202e-01 1.866634e-01
4.135511e-01 1.944163e-01
3.835337e-01 1.957377e-01
4.022614e-01 2.002355e-01
4.142580e-01 1.933316e-01
3.854356e-01 2.144219e-01
4.088792e-01 1.945884e-01
3.984113e-01 2.068212e-01
4.042213e-01 1.927725e-01
3.998427e-01 2.003571e-01
3.987105e-01 1.996801e-01
4.043682e-01 2.013451e-01
3.987484e-01 2.009296e-01
4.040405e-01 1.999816e-01
3.902315e-01 1.857341e-01
4.060458e-01 1.879506e-01
4.013900e-01 2.014618e-01
4.110460e-01 1.955372e-01
3.915781e-01 2.045305e-01
3.962441e-01 2.039045e-01
3.959944e-01 1.999080e-01
4.084298e-01 2.035507e-01
3.973402e-01 1.997046e-01
3.826513e-01 1.950417e-01
3.946731e-01 2.011528e-01
4.158403e-01 1.982430e-01
3.860560e-01 2.113339e-01
3.980054e-01 1.964352e-01
3.997813e-01 1.967898e-01
4.059808e-01 1.845982e-01
3.976828e-01 1.980147e-01
4.106105e-01 1.982993e-01
4.064403e-01 1.909770e-01
3.998127e-01 1.920117e-01
3.833832e-01 2.027762e-01
3.878056e-01 2.018454e-01
3.907955e-01 1.954692e-01
4.009524e-01 2.080576e-01
4.247784e-01 1.913756e-01
3.809580e-01 2.173539e-01
4.020459e-01 2.033543e-01
3.906290e-01 1.991442e-01
3.988798e-01 2.083935e-01
3.897351e-01 2.109814e-01
4.050760e-01 2.081958e-01
4.059462e-01 2.011489e-01
4.006371e-01 2.001189e-01
3.963862e-01 1.985250e-01
4.029863e-01 2.049800e-01
4.088227e-01 1.991799e-01
3.869971e-01 1.992598e-01
3.887867e-01 2.104841e-01
3.934495e-01 2.086477e-01
3.820814e-01 2.059527e-01
4.248672e-01 1.956661e-01
3.905782e-01 2.077972e-01
4.017559e-01 2.057891e-01
3.983393e-01 2.054627e-01
4.026547e-01 2.012239e-01
4.099676e-01 2.020195e-01
4.067243e-01 1.951020e-01
3.950701e-01 1.985530e-01
4.009077e-01 2.050656e-01
4.121442e-01 1.919544e-01
4.025115e-01 2.000992e-01
4.076074e-01 1.985212e-01
3.977726e-01 2.069360e-01
4.135551e-01 1.984198e-01
3.959468e-01 2.028863e-01
4.025746e-01 1.955383e-01
3.859249e-01 2.120587e-01
4.010969e-01 1.845508e-01
3.980617e-01 2.119994e-01
3.866236e-01 2.007202e-01
4.006488e-01 2.067849e-01
4.001876e-01 1.970130e-01
3.929115e-01 2.003784e-01
4.106801e-01 1.942315e-01
4.130778e-01 1.933778e-01
4.048913e-01 1.928694e-01
3.859508e-01 1.987657e-01
3.892883e-01 2.028122e-01
4.014921e-01 2.020983e-01
3.945218e-01 1.881505e-01
4.083851e-01 1.923714e-01
4.004680e-01 2.038939e-01
3.997094e-01 1.930615e-01
4.043616e-01 2.015336e-01
4.016597e-01 1.982228e-01
4.192982e-01 2.031965e-01
3.964978e-01 1.963967e-01
3.861428e-01 2.088295e-01
3.998405e-01 1.919224e-01
3.902736e-01 2.010659e-01
4.093477e-01 1.976421e-01
3.984002e-01 1.980882e-01
3.878193e-01 1.992306e-01
4.015732e-01 2.070612e-01
3.942761e-01 2.053091e-01
3.957567e-01 1.835037e-01
3.880423e-01 2.001978e-01
4.068479e-01 1.914151e-01
3.894323e-01 1.983054e-01
3.980488e-01 2.118642e-01
4.073014e-01 1.868527e-01
3.995672e-01 1.982651e-01
3.886420e-01 2.056403e-01
3.966982e-01 1.952770e-01
3.909681e-01 2.008634e-01
3.900335e-01 1.994593e-01
4.051796e-01 1.816631e-01
3.983767e-01 1.993706e-01
3.934145e-01 1.982990e-01
4.185328e-01 1.983601e-01
3.997670e-01 2.054853e-01
3.982423e-01 1.923830e-01
3.932595e-01 1.993734e-01
3.965146e-01 2.125677e-01
4.028516e-01 2.000377e-01
3.963770e-01 2.039151e-01
3.865429e-01 2.176274e-01
3.975468e-01 1.955155e-01
4.047898e-01 2.024958e-01
4.100472e-01 1.961801e-01
3.918765e-01 2.070179e-01
4.035510e-01 2.021090e-01
3.940075e-01 2.076113e-01
4.063500e-01 2.027565e-01
4.045567e-01 1.843127e-01
3.961229e-01 2.001471e-01
3.888153e-01 2.080268e-01
4.005616e-01 2.087317e-01
3.978076e-01 1.897551e-01
3.979122e-01 2.042348e-01
